project,method,algorithm,batch_size,builds_saved,testall_size,confidence
keycloak-keycloak.csv,ssr,BATCHBISECT,1,93.95584487915039,2763,20
keycloak-keycloak.csv,ssr,BATCHBISECT,2,91.74810028076172,2763,20
keycloak-keycloak.csv,ssr,BATCHBISECT,4,84.76293849945068,2763,18
keycloak-keycloak.csv,ssr,BATCHBISECT,8,70.21353530883789,2763,20
keycloak-keycloak.csv,ssr,BATCHBISECT,16,59.79008483886719,2763,20
keycloak-keycloak.csv,ssr,BATCH4,4,86.2106409072876,2763,18
keycloak-keycloak.csv,ssr,BATCHSTOP4,4,86.2106409072876,2763,18
keycloak-keycloak.csv,ssr,BATCHSTOP4,8,71.95077896118164,2763,20
keycloak-keycloak.csv,ssr,BATCHSTOP4,16,61.816864013671875,2763,20
deeplearning4j-deeplearning4j.csv,ssr,BATCHBISECT,1,0.35842132568359375,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHBISECT,2,-42.45320129394531,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHBISECT,4,-64.83473205566406,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHBISECT,8,-75.26881408691406,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHBISECT,16,-80.92393493652344,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCH4,4,-19.673439025878906,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHSTOP4,4,-19.673439025878906,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHSTOP4,8,-30.824371337890625,2511,2
deeplearning4j-deeplearning4j.csv,ssr,BATCHSTOP4,16,-36.6387939453125,2511,2
essentials-Essentials.csv,ssr,BATCHBISECT,1,89.15879440307617,2223,20
essentials-Essentials.csv,ssr,BATCHBISECT,2,87.17948722839355,2223,20
essentials-Essentials.csv,ssr,BATCHBISECT,4,83.35582542419434,2223,18
essentials-Essentials.csv,ssr,BATCHBISECT,8,76.2483139038086,2223,18
essentials-Essentials.csv,ssr,BATCHBISECT,16,71.65991973876953,2223,20
essentials-Essentials.csv,ssr,BATCH4,4,85.96491241455078,2223,18
essentials-Essentials.csv,ssr,BATCHSTOP4,4,85.96491241455078,2223,18
essentials-Essentials.csv,ssr,BATCHSTOP4,8,79.48717880249023,2223,18
essentials-Essentials.csv,ssr,BATCHSTOP4,16,75.528564453125,2223,20
apache-nifi.csv,ssr,BATCHBISECT,1,80.09095573425293,1979,20
apache-nifi.csv,ssr,BATCHBISECT,2,66.34664154052734,1979,18
apache-nifi.csv,ssr,BATCHBISECT,4,48.05457305908203,1979,19
apache-nifi.csv,ssr,BATCHBISECT,8,28.044464111328125,1979,20
apache-nifi.csv,ssr,BATCHBISECT,16,15.765541076660156,1979,17
apache-nifi.csv,ssr,BATCH4,4,56.74583053588867,1979,19
apache-nifi.csv,ssr,BATCHSTOP4,4,56.74583053588867,1979,19
apache-nifi.csv,ssr,BATCHSTOP4,8,38.35270309448242,1979,20
apache-nifi.csv,ssr,BATCHSTOP4,16,27.28650665283203,1979,17
dropwizard-dropwizard.csv,ssr,BATCHBISECT,1,93.72693729400635,2168,19
dropwizard-dropwizard.csv,ssr,BATCHBISECT,2,90.0369005203247,2168,16
dropwizard-dropwizard.csv,ssr,BATCHBISECT,4,89.48339462280273,2168,20
dropwizard-dropwizard.csv,ssr,BATCHBISECT,8,83.48708534240723,2168,20
dropwizard-dropwizard.csv,ssr,BATCHBISECT,16,75.73800659179688,2168,20
dropwizard-dropwizard.csv,ssr,BATCH4,4,90.86715888977051,2168,20
dropwizard-dropwizard.csv,ssr,BATCHSTOP4,4,90.86715888977051,2168,20
dropwizard-dropwizard.csv,ssr,BATCHSTOP4,8,85.23985195159912,2168,20
dropwizard-dropwizard.csv,ssr,BATCHSTOP4,16,78.3210334777832,2168,20
geotools-geotools.csv,ssr,BATCHBISECT,1,30.86346435546875,5061,20
geotools-geotools.csv,ssr,BATCHBISECT,2,21.023513793945312,5061,19
geotools-geotools.csv,ssr,BATCHBISECT,4,13.831260681152344,5061,17
geotools-geotools.csv,ssr,BATCHBISECT,8,3.339263916015625,5061,17
geotools-geotools.csv,ssr,BATCHBISECT,16,-0.553253173828125,5061,17
geotools-geotools.csv,ssr,BATCH4,4,34.854774475097656,5061,17
geotools-geotools.csv,ssr,BATCHSTOP4,4,34.854774475097656,5061,17
geotools-geotools.csv,ssr,BATCHSTOP4,8,25.113616943359375,5061,17
geotools-geotools.csv,ssr,BATCHSTOP4,16,21.61627960205078,5061,17
floragunncom-search-guard.csv,ssr,BATCHBISECT,1,90.95951175689697,3606,18
floragunncom-search-guard.csv,ssr,BATCHBISECT,2,91.95784759521484,3606,20
floragunncom-search-guard.csv,ssr,BATCHBISECT,4,89.48973941802979,3606,20
floragunncom-search-guard.csv,ssr,BATCHBISECT,8,87.5207986831665,3606,19
floragunncom-search-guard.csv,ssr,BATCHBISECT,16,76.65002822875977,3606,18
floragunncom-search-guard.csv,ssr,BATCH4,4,90.48807525634766,3606,20
floragunncom-search-guard.csv,ssr,BATCHSTOP4,4,90.48807525634766,3606,20
floragunncom-search-guard.csv,ssr,BATCHSTOP4,8,88.6855239868164,3606,19
floragunncom-search-guard.csv,ssr,BATCHSTOP4,16,78.92401504516602,3606,18
datastax-java-driver.csv,ssr,BATCHBISECT,1,80.53356742858887,3411,19
datastax-java-driver.csv,ssr,BATCHBISECT,2,74.23043060302734,3411,20
datastax-java-driver.csv,ssr,BATCHBISECT,4,58.604515075683594,3411,20
datastax-java-driver.csv,ssr,BATCHBISECT,8,42.04045867919922,3411,19
datastax-java-driver.csv,ssr,BATCHBISECT,16,22.251541137695312,3411,15
datastax-java-driver.csv,ssr,BATCH4,4,65.46467208862305,3411,20
datastax-java-driver.csv,ssr,BATCHSTOP4,4,65.46467208862305,3411,20
datastax-java-driver.csv,ssr,BATCHSTOP4,8,51.128700256347656,3411,19
datastax-java-driver.csv,ssr,BATCHSTOP4,16,33.50923156738281,3411,15
nutzam-nutz.csv,ssr,BATCHBISECT,1,61.12428665161133,4216,19
nutzam-nutz.csv,ssr,BATCHBISECT,2,46.48956298828125,4216,19
nutzam-nutz.csv,ssr,BATCHBISECT,4,31.59392547607422,4216,17
nutzam-nutz.csv,ssr,BATCHBISECT,8,16.461097717285156,4216,17
nutzam-nutz.csv,ssr,BATCHBISECT,16,0.521820068359375,4216,17
nutzam-nutz.csv,ssr,BATCH4,4,48.71916580200195,4216,17
nutzam-nutz.csv,ssr,BATCHSTOP4,4,48.71916580200195,4216,17
nutzam-nutz.csv,ssr,BATCHSTOP4,8,35.48387145996094,4216,17
nutzam-nutz.csv,ssr,BATCHSTOP4,16,21.11005401611328,4216,17
FasterXML-jackson-databind.csv,ssr,BATCHBISECT,1,74.80752754211426,2338,20
FasterXML-jackson-databind.csv,ssr,BATCHBISECT,2,65.65440368652344,2338,19
FasterXML-jackson-databind.csv,ssr,BATCHBISECT,4,55.34645080566406,2338,16
FasterXML-jackson-databind.csv,ssr,BATCHBISECT,8,46.83489990234375,2338,19
FasterXML-jackson-databind.csv,ssr,BATCHBISECT,16,41.57399368286133,2338,18
FasterXML-jackson-databind.csv,ssr,BATCH4,4,65.56886291503906,2338,17
FasterXML-jackson-databind.csv,ssr,BATCHSTOP4,4,65.56886291503906,2338,17
FasterXML-jackson-databind.csv,ssr,BATCHSTOP4,8,57.69888687133789,2338,18
FasterXML-jackson-databind.csv,ssr,BATCHSTOP4,16,52.43798065185547,2338,18
structr-structr.csv,ssr,BATCHBISECT,1,41.18986511230469,3513,20
structr-structr.csv,ssr,BATCHBISECT,2,22.11785125732422,3513,20
structr-structr.csv,ssr,BATCHBISECT,4,3.9282684326171875,3513,19
structr-structr.csv,ssr,BATCHBISECT,8,-13.692001342773438,3513,19
structr-structr.csv,ssr,BATCHBISECT,16,-22.57329559326172,3513,19
structr-structr.csv,ssr,BATCH4,4,23.797325134277344,3513,19
structr-structr.csv,ssr,BATCHSTOP4,4,23.797325134277344,3513,19
structr-structr.csv,ssr,BATCHSTOP4,8,7.37261962890625,3513,19
structr-structr.csv,ssr,BATCHSTOP4,16,-0.8255081176757812,3513,19
mybatis-mybatis-3.csv,ssr,BATCHBISECT,1,93.53579187393188,2305,20
mybatis-mybatis-3.csv,ssr,BATCHBISECT,2,91.93058586120605,2305,18
mybatis-mybatis-3.csv,ssr,BATCHBISECT,4,89.63123607635498,2305,19
mybatis-mybatis-3.csv,ssr,BATCHBISECT,8,86.81128025054932,2305,19
mybatis-mybatis-3.csv,ssr,BATCHBISECT,16,82.51626968383789,2305,20
mybatis-mybatis-3.csv,ssr,BATCH4,4,90.67245101928711,2305,19
mybatis-mybatis-3.csv,ssr,BATCHSTOP4,4,90.67245101928711,2305,19
mybatis-mybatis-3.csv,ssr,BATCHSTOP4,8,88.28633403778076,2305,19
mybatis-mybatis-3.csv,ssr,BATCHSTOP4,16,84.51193046569824,2305,20
linkedin-gobblin.csv,ssr,BATCHBISECT,1,46.71664047241211,3335,20
linkedin-gobblin.csv,ssr,BATCHBISECT,2,38.53073501586914,3335,17
linkedin-gobblin.csv,ssr,BATCHBISECT,4,24.317840576171875,3335,15
linkedin-gobblin.csv,ssr,BATCHBISECT,8,5.037483215332031,3335,17
linkedin-gobblin.csv,ssr,BATCHBISECT,16,-12.473762512207031,3335,16
linkedin-gobblin.csv,ssr,BATCH4,4,40.35982131958008,3335,13
linkedin-gobblin.csv,ssr,BATCHSTOP4,4,40.35982131958008,3335,13
linkedin-gobblin.csv,ssr,BATCHSTOP4,8,23.868064880371094,3335,17
linkedin-gobblin.csv,ssr,BATCHSTOP4,16,8.485755920410156,3335,18
SpongePowered-SpongeCommon.csv,ssr,BATCHBISECT,1,84.08391094207764,5196,20
SpongePowered-SpongeCommon.csv,ssr,BATCHBISECT,2,79.81139373779297,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHBISECT,4,65.81986236572266,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHBISECT,8,56.35103988647461,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHBISECT,16,40.0500373840332,5196,17
SpongePowered-SpongeCommon.csv,ssr,BATCH4,4,71.40107727050781,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHSTOP4,4,71.40107727050781,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHSTOP4,8,62.77906036376953,5196,19
SpongePowered-SpongeCommon.csv,ssr,BATCHSTOP4,16,47.594303131103516,5196,17
typetools-checker-framework.csv,ssr,BATCHBISECT,1,41.821693420410156,5698,20
typetools-checker-framework.csv,ssr,BATCHBISECT,2,26.570724487304688,5698,20
typetools-checker-framework.csv,ssr,BATCHBISECT,4,10.214111328125,5698,17
typetools-checker-framework.csv,ssr,BATCHBISECT,8,0.6142501831054688,5698,16
typetools-checker-framework.csv,ssr,BATCHBISECT,16,-8.23095703125,5698,19
typetools-checker-framework.csv,ssr,BATCH4,4,31.239028930664062,5698,17
typetools-checker-framework.csv,ssr,BATCHSTOP4,4,31.239028930664062,5698,17
typetools-checker-framework.csv,ssr,BATCHSTOP4,8,22.0252685546875,5698,16
typetools-checker-framework.csv,ssr,BATCHSTOP4,16,13.618812561035156,5698,17
apache-zeppelin.csv,ssr,BATCHBISECT,1,7.717506408691406,5494,20
apache-zeppelin.csv,ssr,BATCHBISECT,2,-10.465965270996094,5494,19
apache-zeppelin.csv,ssr,BATCHBISECT,4,-20.78631591796875,5494,19
apache-zeppelin.csv,ssr,BATCHBISECT,8,-29.523117065429688,5494,17
apache-zeppelin.csv,ssr,BATCHBISECT,16,-35.45686340332031,5494,8
apache-zeppelin.csv,ssr,BATCH4,4,9.00982666015625,5494,17
apache-zeppelin.csv,ssr,BATCHSTOP4,4,9.00982666015625,5494,17
apache-zeppelin.csv,ssr,BATCHSTOP4,8,0.6552581787109375,5494,17
apache-zeppelin.csv,ssr,BATCHSTOP4,16,-5.005462646484375,5494,9
rackerlabs-blueflood.csv,ssr,BATCHBISECT,1,90.73438549041748,2914,20
rackerlabs-blueflood.csv,ssr,BATCHBISECT,2,88.02333545684814,2914,19
rackerlabs-blueflood.csv,ssr,BATCHBISECT,4,82.80713844299316,2914,20
rackerlabs-blueflood.csv,ssr,BATCHBISECT,8,65.71722793579102,2914,14
rackerlabs-blueflood.csv,ssr,BATCHBISECT,16,50.72065734863281,2914,19
rackerlabs-blueflood.csv,ssr,BATCH4,4,84.52299213409424,2914,20
rackerlabs-blueflood.csv,ssr,BATCHSTOP4,4,84.52299213409424,2914,20
rackerlabs-blueflood.csv,ssr,BATCHSTOP4,8,69.21757125854492,2914,14
rackerlabs-blueflood.csv,ssr,BATCHSTOP4,16,55.11324691772461,2914,19
puniverse-quasar.csv,ssr,BATCHBISECT,1,85.17832374572754,2159,18
puniverse-quasar.csv,ssr,BATCHBISECT,2,82.49189376831055,2159,17
puniverse-quasar.csv,ssr,BATCHBISECT,4,70.81982421875,2159,17
puniverse-quasar.csv,ssr,BATCHBISECT,8,53.4506721496582,2159,15
puniverse-quasar.csv,ssr,BATCHBISECT,16,40.5743408203125,2159,18
puniverse-quasar.csv,ssr,BATCH4,4,74.89578437805176,2159,17
puniverse-quasar.csv,ssr,BATCHSTOP4,4,74.89578437805176,2159,17
puniverse-quasar.csv,ssr,BATCHSTOP4,8,58.45298767089844,2159,20
puniverse-quasar.csv,ssr,BATCHSTOP4,16,46.9661865234375,2159,18
samtools-htsjdk.csv,ssr,BATCHBISECT,1,93.44457674026489,2517,18
samtools-htsjdk.csv,ssr,BATCHBISECT,2,92.09376239776611,2517,20
samtools-htsjdk.csv,ssr,BATCHBISECT,4,88.6769962310791,2517,20
samtools-htsjdk.csv,ssr,BATCHBISECT,8,82.32022285461426,2517,16
samtools-htsjdk.csv,ssr,BATCHBISECT,16,74.89074325561523,2517,20
samtools-htsjdk.csv,ssr,BATCH4,4,90.10727024078369,2517,20
samtools-htsjdk.csv,ssr,BATCHSTOP4,4,90.10727024078369,2517,20
samtools-htsjdk.csv,ssr,BATCHSTOP4,8,84.46563339233398,2517,16
samtools-htsjdk.csv,ssr,BATCHSTOP4,16,77.91020965576172,2517,20
geoserver-geoserver.csv,ssr,BATCHBISECT,1,8.714241027832031,6082,18
geoserver-geoserver.csv,ssr,BATCHBISECT,2,1.6770782470703125,6082,13
geoserver-geoserver.csv,ssr,BATCHBISECT,4,-9.22393798828125,6082,19
geoserver-geoserver.csv,ssr,BATCHBISECT,8,-17.017425537109375,6082,10
geoserver-geoserver.csv,ssr,BATCHBISECT,16,-24.531402587890625,6082,14
geoserver-geoserver.csv,ssr,BATCH4,4,13.433082580566406,6082,19
geoserver-geoserver.csv,ssr,BATCHSTOP4,4,13.433082580566406,6082,19
geoserver-geoserver.csv,ssr,BATCHSTOP4,8,5.935546875,6082,10
geoserver-geoserver.csv,ssr,BATCHSTOP4,16,-0.47681427001953125,6082,11
sakaiproject-sakai.csv,ssr,BATCHBISECT,1,93.90983390808105,3793,19
sakaiproject-sakai.csv,ssr,BATCHBISECT,2,90.8515682220459,3793,20
sakaiproject-sakai.csv,ssr,BATCHBISECT,4,86.00052738189697,3793,20
sakaiproject-sakai.csv,ssr,BATCHBISECT,8,74.42657470703125,3793,19
sakaiproject-sakai.csv,ssr,BATCHBISECT,16,65.77906799316406,3793,19
sakaiproject-sakai.csv,ssr,BATCH4,4,87.05510139465332,3793,20
sakaiproject-sakai.csv,ssr,BATCHSTOP4,4,87.05510139465332,3793,20
sakaiproject-sakai.csv,ssr,BATCHSTOP4,8,76.48299407958984,3793,19
sakaiproject-sakai.csv,ssr,BATCHSTOP4,16,68.41550254821777,3793,19
osmdroid-osmdroid.csv,ssr,BATCHBISECT,1,2.699951171875,1963,16
osmdroid-osmdroid.csv,ssr,BATCHBISECT,2,-15.690269470214844,1963,15
osmdroid-osmdroid.csv,ssr,BATCHBISECT,4,-26.591949462890625,1963,15
osmdroid-osmdroid.csv,ssr,BATCHBISECT,8,-33.825775146484375,1963,15
osmdroid-osmdroid.csv,ssr,BATCHBISECT,16,-37.54457092285156,1963,7
osmdroid-osmdroid.csv,ssr,BATCH4,4,4.584815979003906,1963,15
osmdroid-osmdroid.csv,ssr,BATCHSTOP4,4,4.584815979003906,1963,15
osmdroid-osmdroid.csv,ssr,BATCHSTOP4,8,-2.8527755737304688,1963,15
osmdroid-osmdroid.csv,ssr,BATCHSTOP4,16,-7.081001281738281,1963,7
jOOQ-jOOQ.csv,ssr,BATCHBISECT,1,75.52264785766602,3444,20
jOOQ-jOOQ.csv,ssr,BATCHBISECT,2,67.24738693237305,3444,20
jOOQ-jOOQ.csv,ssr,BATCHBISECT,4,64.05342483520508,3444,20
jOOQ-jOOQ.csv,ssr,BATCHBISECT,8,56.85249710083008,3444,20
jOOQ-jOOQ.csv,ssr,BATCHBISECT,16,40.534263610839844,3444,19
jOOQ-jOOQ.csv,ssr,BATCH4,4,72.00929069519043,3444,20
jOOQ-jOOQ.csv,ssr,BATCHSTOP4,4,72.00929069519043,3444,20
jOOQ-jOOQ.csv,ssr,BATCHSTOP4,8,65.2148666381836,3444,20
jOOQ-jOOQ.csv,ssr,BATCHSTOP4,16,50.66782760620117,3444,16
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,1,88.49679183959961,4364,20
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,2,87.46562767028809,4364,19
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,4,76.55820274353027,4364,19
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,8,65.26122665405273,4364,20
CloudSlang-cloud-slang.csv,ssr,BATCHBISECT,16,50.02291488647461,4364,20
CloudSlang-cloud-slang.csv,ssr,BATCH4,4,79.85792922973633,4364,19
CloudSlang-cloud-slang.csv,ssr,BATCHSTOP4,4,79.85792922973633,4364,19
CloudSlang-cloud-slang.csv,ssr,BATCHSTOP4,8,69.61503219604492,4364,20
CloudSlang-cloud-slang.csv,ssr,BATCHSTOP4,16,55.06416320800781,4364,18
caelum-vraptor4.csv,ssr,BATCHBISECT,1,93.38924503326416,2027,19
caelum-vraptor4.csv,ssr,BATCHBISECT,2,88.3078441619873,2027,20
caelum-vraptor4.csv,ssr,BATCHBISECT,4,83.02910614013672,2027,18
caelum-vraptor4.csv,ssr,BATCHBISECT,8,71.58362197875977,2027,20
caelum-vraptor4.csv,ssr,BATCHBISECT,16,58.36211013793945,2027,19
caelum-vraptor4.csv,ssr,BATCH4,4,84.90379905700684,2027,18
caelum-vraptor4.csv,ssr,BATCHSTOP4,4,84.90379905700684,2027,18
caelum-vraptor4.csv,ssr,BATCHSTOP4,8,74.19832229614258,2027,18
caelum-vraptor4.csv,ssr,BATCHSTOP4,16,61.56882095336914,2027,20
grails-grails-core.csv,ssr,BATCHBISECT,1,84.82269477844238,2115,20
grails-grails-core.csv,ssr,BATCHBISECT,2,71.77305030822754,2115,19
grails-grails-core.csv,ssr,BATCHBISECT,4,51.58392333984375,2115,20
grails-grails-core.csv,ssr,BATCHBISECT,8,27.801422119140625,2115,18
grails-grails-core.csv,ssr,BATCHBISECT,16,7.2813262939453125,2115,20
grails-grails-core.csv,ssr,BATCH4,4,57.73049545288086,2115,20
grails-grails-core.csv,ssr,BATCHSTOP4,4,57.73049545288086,2115,20
grails-grails-core.csv,ssr,BATCHSTOP4,8,36.879432678222656,2115,19
grails-grails-core.csv,ssr,BATCHSTOP4,16,17.49408721923828,2115,17
yegor256-takes.csv,ssr,BATCHBISECT,1,73.5447769165039,2680,20
yegor256-takes.csv,ssr,BATCHBISECT,2,65.26119232177734,2680,20
yegor256-takes.csv,ssr,BATCHBISECT,4,57.350746154785156,2680,19
yegor256-takes.csv,ssr,BATCHBISECT,8,46.902984619140625,2680,20
yegor256-takes.csv,ssr,BATCHBISECT,16,36.044776916503906,2680,18
yegor256-takes.csv,ssr,BATCH4,4,66.52985000610352,2680,19
yegor256-takes.csv,ssr,BATCHSTOP4,4,66.52985000610352,2680,19
yegor256-takes.csv,ssr,BATCHSTOP4,8,56.67910385131836,2680,20
yegor256-takes.csv,ssr,BATCHSTOP4,16,46.86567306518555,2680,18
xetorthio-jedis.csv,ssr,BATCHBISECT,1,90.88753414154053,2952,18
xetorthio-jedis.csv,ssr,BATCHBISECT,2,89.32926845550537,2952,17
xetorthio-jedis.csv,ssr,BATCHBISECT,4,83.53658485412598,2952,14
xetorthio-jedis.csv,ssr,BATCHBISECT,8,79.40379333496094,2952,20
xetorthio-jedis.csv,ssr,BATCHBISECT,16,68.49593544006348,2952,18
xetorthio-jedis.csv,ssr,BATCH4,4,85.36585330963135,2952,14
xetorthio-jedis.csv,ssr,BATCHSTOP4,4,85.36585330963135,2952,14
xetorthio-jedis.csv,ssr,BATCHSTOP4,8,81.91056823730469,2952,20
xetorthio-jedis.csv,ssr,BATCHSTOP4,16,72.08672142028809,2952,18
BuildCraft-BuildCraft.csv,ssr,BATCHBISECT,1,39.492164611816406,1851,17
BuildCraft-BuildCraft.csv,ssr,BATCHBISECT,2,9.076171875,1851,14
BuildCraft-BuildCraft.csv,ssr,BATCHBISECT,4,-14.69476318359375,1851,20
BuildCraft-BuildCraft.csv,ssr,BATCHBISECT,8,-29.983795166015625,1851,15
BuildCraft-BuildCraft.csv,ssr,BATCHBISECT,16,-35.38627624511719,1851,2
BuildCraft-BuildCraft.csv,ssr,BATCH4,4,8.643974304199219,1851,20
BuildCraft-BuildCraft.csv,ssr,BATCHSTOP4,4,8.643974304199219,1851,20
BuildCraft-BuildCraft.csv,ssr,BATCHSTOP4,8,-5.888710021972656,1851,15
BuildCraft-BuildCraft.csv,ssr,BATCHSTOP4,16,-11.939491271972656,1851,2
SpongePowered-SpongeForge.csv,ssr,BATCHBISECT,1,88.72508907318115,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHBISECT,2,84.46628475189209,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHBISECT,4,77.12257766723633,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHBISECT,8,64.40076446533203,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHBISECT,16,52.88015365600586,3663,19
SpongePowered-SpongeForge.csv,ssr,BATCH4,4,80.45318031311035,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHSTOP4,4,80.45318031311035,3663,20
SpongePowered-SpongeForge.csv,ssr,BATCHSTOP4,8,69.34206962585449,3663,19
SpongePowered-SpongeForge.csv,ssr,BATCHSTOP4,16,58.12175750732422,3663,19
CloudifySource-cloudify.csv,ssr,BATCHBISECT,1,81.80413436889648,5177,20
CloudifySource-cloudify.csv,ssr,BATCHBISECT,2,72.97662734985352,5177,20
CloudifySource-cloudify.csv,ssr,BATCHBISECT,4,60.78810119628906,5177,19
CloudifySource-cloudify.csv,ssr,BATCHBISECT,8,46.88043212890625,5177,19
CloudifySource-cloudify.csv,ssr,BATCHBISECT,16,33.223876953125,5177,20
CloudifySource-cloudify.csv,ssr,BATCH4,4,68.12825965881348,5177,19
CloudifySource-cloudify.csv,ssr,BATCHSTOP4,4,68.12825965881348,5177,19
CloudifySource-cloudify.csv,ssr,BATCHSTOP4,8,55.45682907104492,5177,19
CloudifySource-cloudify.csv,ssr,BATCHSTOP4,16,42.49565505981445,5177,20
square-wire.csv,ssr,BATCHBISECT,1,93.48534202575684,2149,20
square-wire.csv,ssr,BATCHBISECT,2,93.48534202575684,2149,20
square-wire.csv,ssr,BATCHBISECT,4,91.76361083984375,2149,19
square-wire.csv,ssr,BATCHBISECT,8,87.34294986724854,2149,20
square-wire.csv,ssr,BATCHBISECT,16,82.73615646362305,2149,20
square-wire.csv,ssr,BATCH4,4,92.4150767326355,2149,19
square-wire.csv,ssr,BATCHSTOP4,4,92.4150767326355,2149,19
square-wire.csv,ssr,BATCHSTOP4,8,88.5528154373169,2149,20
square-wire.csv,ssr,BATCHSTOP4,16,84.13215446472168,2149,20
orbeon-orbeon-forms.csv,ssr,BATCHBISECT,1,20.14318084716797,3073,12
orbeon-orbeon-forms.csv,ssr,BATCHBISECT,2,4.555809020996094,3073,11
orbeon-orbeon-forms.csv,ssr,BATCHBISECT,4,-9.111618041992188,3073,6
orbeon-orbeon-forms.csv,ssr,BATCHBISECT,8,-17.1168212890625,3073,5
orbeon-orbeon-forms.csv,ssr,BATCHBISECT,16,-21.80279541015625,3073,5
orbeon-orbeon-forms.csv,ssr,BATCH4,4,14.253173828125,3073,6
orbeon-orbeon-forms.csv,ssr,BATCHSTOP4,4,14.253173828125,3073,6
orbeon-orbeon-forms.csv,ssr,BATCHSTOP4,8,6.638465881347656,3073,5
orbeon-orbeon-forms.csv,ssr,BATCHSTOP4,16,1.8874053955078125,3073,5
naver-pinpoint.csv,ssr,BATCHBISECT,1,88.80140018463135,2286,20
